,id,keywords
0,872585,"[{'id': 1157, 'name': 'husband wife relationship'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 6078, 'name': 'politics'}, {'id': 1815, 'name': 'atomic bomb'}, {'id': 1627, 'name': 'patriotism'}, {'id': 1508, 'name': 'new mexico'}, {'id': 1956, 'name': 'world war ii'}, {'id': 4593, 'name': 'atomic bomb test'}, {'id': 6012, 'name': 'physics'}, {'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on true story'}, {'id': 8012, 'name': 'physicist'}, {'id': 11211, 'name': 'jewish american'}, {'id': 33720, 'name': 'guilt'}, {'id': 160381, 'name': 'nuclear weapons'}, {'id': 173644, 'name': 'communism'}, {'id': 173686, 'name': 'red scare'}, {'id': 186790, 'name': 'prometheus'}, {'id': 194595, 'name': 'mccarthyism'}, {'id': 207883, 'name': '1940s'}, {'id': 211062, 'name': 'ethics'}, {'id': 278298, 'name': 'new mexico desert'}, {'id': 285398, 'name': '20th century'}, {'id': 285777, 'name': 'manhattan project'}, {'id': 286925, 'name': 'affair'}, {'id': 297020, 'name': 'los alamos'}]"
1,670292,"[{'id': 310, 'name': 'artificial intelligence (a.i.)'}, {'id': 1293, 'name': 'asia'}, {'id': 11239, 'name': 'distant future'}, {'id': 156039, 'name': 'space station'}, {'id': 208349, 'name': 'child'}, {'id': 212757, 'name': 'ex special forces'}, {'id': 222665, 'name': 'missing wife'}, {'id': 287271, 'name': 'robots'}, {'id': 287526, 'name': 'war against machines'}]"
2,299054,"[{'id': 9663, 'name': 'sequel'}, {'id': 12551, 'name': 'nuclear bomb'}, {'id': 158022, 'name': 'cargo ship'}, {'id': 189093, 'name': 'ring'}]"
3,507089,"[{'id': 4225, 'name': 'night shift'}, {'id': 1468, 'name': 'child murder'}, {'id': 1946, 'name': 'restaurant'}, {'id': 4056, 'name': 'custody battle'}, {'id': 10656, 'name': 'child in peril'}, {'id': 13014, 'name': 'orphan'}, {'id': 41180, 'name': 'security guard'}, {'id': 41645, 'name': 'based on video game'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 181053, 'name': 'troubled past'}, {'id': 185019, 'name': 'child neglect'}, {'id': 215790, 'name': 'animatronic'}, {'id': 240377, 'name': 'abandoned building'}, {'id': 240485, 'name': 'brother sister relationship'}, {'id': 256908, 'name': 'ghost child'}, {'id': 265839, 'name': 'child abduction'}]"
4,609681,"[{'id': 1701, 'name': 'hero'}, {'id': 9715, 'name': 'superhero'}, {'id': 3801, 'name': 'space travel'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9663, 'name': 'sequel'}, {'id': 10809, 'name': 'teenage girl'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 195114, 'name': 'space adventure'}]"
5,385687,"[{'id': 9663, 'name': 'sequel'}, {'id': 9748, 'name': 'revenge'}, {'id': 10039, 'name': 'racing'}, {'id': 18035, 'name': 'family'}, {'id': 175102, 'name': 'cliffhanger'}, {'id': 286354, 'name': 'cars'}]"
6,575264,"[{'id': 4776, 'name': 'race against time'}, {'id': 10364, 'name': 'mission'}, {'id': 588, 'name': 'rome, italy'}, {'id': 3713, 'name': 'chase'}, {'id': 3269, 'name': 'secret mission'}, {'id': 4289, 'name': 'secret agent'}, {'id': 9663, 'name': 'sequel'}, {'id': 9846, 'name': 'intelligence agency'}, {'id': 176802, 'name': 'rogue agent'}, {'id': 269769, 'name': 'based on tv series'}, {'id': 271668, 'name': 'secret government agency'}, {'id': 321905, 'name': 'northern norway'}]"
7,926393,"[{'id': 131, 'name': 'italy'}, {'id': 266013, 'name': 'vigilante justice'}, {'id': 319591, 'name': 'italian mafia'}]"
8,695721,"[{'id': 5600, 'name': 'daughter'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1395, 'name': 'arena'}, {'id': 1721, 'name': 'fight'}, {'id': 1310, 'name': 'mentor'}, {'id': 4565, 'name': 'dystopia'}, {'id': 2187, 'name': 'riot'}, {'id': 4759, 'name': 'exploration'}, {'id': 8570, 'name': 'president'}, {'id': 9675, 'name': 'prequel'}, {'id': 10349, 'name': 'survival'}, {'id': 9826, 'name': 'murder'}, {'id': 10794, 'name': 'snow'}, {'id': 13031, 'name': 'creature'}, {'id': 14643, 'name': 'battle'}, {'id': 15285, 'name': 'spin off'}, {'id': 34079, 'name': 'death'}, {'id': 156828, 'name': 'fight to the death'}, {'id': 206298, 'name': 'young adult'}, {'id': 220391, 'name': 'academy'}, {'id': 242214, 'name': 'origin story'}, {'id': 246466, 'name': 'based on young adult novel'}, {'id': 295702, 'name': 'death game'}, {'id': 296608, 'name': 'teenager'}]"
9,980489,"[{'id': 9672, 'name': 'based on true story'}, {'id': 10039, 'name': 'racing'}, {'id': 41645, 'name': 'based on video game'}, {'id': 179431, 'name': 'duringcreditsstinger'}]"
