genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
"[18, 36]",872585,en,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,2718.643,2023-07-19,Oppenheimer,8.192,4663
"[27, 9648]",507089,en,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",1859.189,2023-10-25,Five Nights at Freddy's,7.933,2352
"[878, 28, 53]",670292,en,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",2234.144,2023-09-27,The Creator,7.229,883
"[28, 12, 53]",299054,en,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",1294.274,2023-09-15,Expend4bles,6.417,762
"[28, 53]",575264,en,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",1144.924,2023-07-08,Mission: Impossible - Dead Reckoning Part One,7.591,2470
"[28, 53, 80]",926393,en,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",846.648,2023-08-30,The Equalizer 3,7.4,1659
"[28, 80, 53]",385687,en,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",972.791,2023-05-17,Fast X,7.215,4294
"[28, 12, 878]",695721,en,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.",800.372,2023-11-15,The Hunger Games: The Ballad of Songbirds & Snakes,7.358,212
"[28, 878, 12]",565770,en,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",682.79,2023-08-16,Blue Beetle,6.973,1647
"[28, 12, 878]",609681,en,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",712.55,2023-11-08,The Marvels,6.49,453
"[27, 53]",951491,en,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",755.378,2023-09-26,Saw X,7.416,1089
"[28, 18]",678512,en,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",698.689,2023-07-03,Sound of Freedom,8.1,1478
